time,country,volatility,description,actual,forecast,previous,date
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מכירות קמעונאיות - ליבה (חודשי)  (יוני),,0.3%,-0.3%,"יום חמישי, 17 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,תביעות ראשוניות לדמי אבטלה,,233K,227K,"יום חמישי, 17 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מדד הייצור - הפד של פילדלפיה  (יולי),,-1.2,-4.0,"יום חמישי, 17 ביולי, 2025"
15:30,ארצות הברית,צפויה תנודתיות גבוהה,מכירות קמעונאיות (חודשי)  (יוני),,0.1%,-0.9%,"יום חמישי, 17 ביולי, 2025"
